player,pos,team,worpTier,worp,porp,tradeValue,week,spikeHighP,spikeMidP,spikeLowP
Michael Wilson,WR,ARI,3,0.28,35.8,1851,16,0.25,0.3125,0.375
Denzel Boston,WR,CLE,,,,1833,,NaN,NaN,NaN
Oronde Gadsden,TE,LAC,4,-0.13,-6.2,1799,14,0.14285714285714285,0.14285714285714285,0.5714285714285714
Jonah Coleman,RB,DEN,,,,1781,,NaN,NaN,NaN
Davante Adams,WR,LA,2,0.87,83,1781,14,0.35714285714285715,0.5714285714285714,0.6428571428571429
Matthew Golden,WR,GB,4,-0.5,-49.1,1769,13,0,0,0.07692307692307693
RJ Harvey,RB,DEN,2,0.63,54.4,1726,16,0.25,0.4375,0.625
DK Metcalf,WR,PIT,3,0.43,40,1724,15,0.2,0.26666666666666666,0.4666666666666667
Josh Downs,WR,IND,4,-0.25,-21.6,1713,15,0,0.06666666666666667,0.2
Travis Hunter,WR,JAX,3,-0.1,-6.9,1709,7,0.14285714285714285,0.14285714285714285,0.14285714285714285
Isaiah Likely,TE,NYG,4,-0.6,-57.7,1706,13,0,0.07692307692307693,0.23076923076923078
Mike Evans,WR,SF,3,0.08,8.4,1697,7,0,0.14285714285714285,0.5714285714285714
Xavier Worthy,WR,KC,4,-0.22,-22,1695,14,0,0.07142857142857142,0.14285714285714285
George Kittle,TE,SF,3,0.5,49.9,1667,10,0.3,0.7,0.8
Chuba Hubbard,RB,CAR,3,0.09,-2.5,1665,14,0.14285714285714285,0.21428571428571427,0.42857142857142855
Jake Ferguson,TE,DAL,3,0.22,20.7,1660,16,0.3125,0.4375,0.6875
Ricky Pearsall,WR,SF,3,-0.01,-1.9,1638,9,0,0.2222222222222222,0.4444444444444444
Chris Bell,WR,MIA,,,,1632,,NaN,NaN,NaN
Quentin Johnston,WR,LAC,3,0.44,34,1610,14,0.21428571428571427,0.42857142857142855,0.6428571428571429
Michael Pittman,WR,PIT,3,0.36,31.9,1605,16,0.125,0.375,0.5625
Kyle Monangai,RB,CHI,3,0.07,7,1602,16,0.125,0.25,0.4375
Wan'Dale Robinson,WR,TEN,3,0.4,44.4,1597,16,0.25,0.3125,0.375
Jayden Reed,WR,GB,3,-0.1,-10.9,1597,6,0,0,0.16666666666666666
Dalton Kincaid,TE,BUF,3,0.15,11.9,1595,11,0.2727272727272727,0.45454545454545453,0.6363636363636364
Germie Bernard,WR,PIT,,,,1582,,NaN,NaN,NaN
Antonio Williams,WR,WAS,,,,1560,,NaN,NaN,NaN
Nicholas Singleton,RB,TEN,,,,1515,,NaN,NaN,NaN
Zach Charbonnet,RB,SEA,3,0.37,35.2,1491,15,0.13333333333333333,0.26666666666666666,0.6
Jayden Higgins,WR,HOU,4,-0.28,-27.3,1469,16,0.0625,0.0625,0.25
Blake Corum,RB,LA,4,-0.13,-14.7,1467,16,0.0625,0.1875,0.3125
Jaylen Warren,RB,PIT,2,0.74,70.1,1464,15,0.2,0.5333333333333333,0.8
Rico Dowdle,RB,PIT,2,0.73,70.9,1454,16,0.1875,0.3125,0.625
Romeo Doubs,WR,NE,3,0.18,11.5,1429,16,0.0625,0.125,0.3125
Courtland Sutton,WR,DEN,2,0.62,54.3,1409,16,0.125,0.5,0.625
Tua Tagovailoa,QB,ATL,3,0.01,-2.92,1396,14,0,0.14285714285714285,0.5
Carson Beck,QB,ARI,,,,1396,,NaN,NaN,NaN
Ted Hurst,WR,TB,,,,1393,,NaN,NaN,NaN
Jakobi Meyers,WR,JAX,3,0.15,11,1379,15,0,0.26666666666666666,0.4
Kenneth Gainwell,RB,TB,3,0.47,45.1,1378,16,0.25,0.375,0.5
Michael Penix,QB,ATL,3,0.14,8.98,1372,9,0,0.1111111111111111,0.6666666666666666
Mike Washington,RB,LV,,,,1368,,NaN,NaN,NaN
Chig Okonkwo,TE,WAS,4,-0.35,-29.6,1367,16,0.125,0.1875,0.3125
Brenton Strange,TE,JAX,3,-0.09,-8,1352,11,0.18181818181818182,0.36363636363636365,0.6363636363636364
Tony Pollard,RB,TEN,3,0.36,36.5,1347,16,0.125,0.3125,0.5625
Mark Andrews,TE,BAL,4,-0.27,-21.3,1337,16,0.1875,0.1875,0.375
Rhamondre Stevenson,RB,NE,3,0.27,25.3,1336,13,0.15384615384615385,0.38461538461538464,0.46153846153846156
Travis Kelce,TE,KC,3,0.3,27.1,1315,16,0.25,0.5,0.75
Shedeur Sanders,QB,CLE,3,0.09,7.18,1301,7,0.14285714285714285,0.14285714285714285,0.42857142857142855
J.K. Dobbins,RB,DEN,3,0.38,32.6,1300,10,0,0.5,0.8
Drew Allar,QB,PIT,,,,1298,,NaN,NaN,NaN
Jacory Croskey-Merritt,RB,WAS,3,0.14,8,1292,16,0.1875,0.25,0.3125
De'Zhaun Stribling,WR,SF,,,,1287,,NaN,NaN,NaN
Jalen McMillan,WR,TB,3,-0.03,-2.7,1263,3,0,0.3333333333333333,0.3333333333333333
Geno Smith,QB,NYJ,3,0.05,3.28,1262,15,0.06666666666666667,0.13333333333333333,0.4
Malachi Fields,WR,NYG,,,,1257,,NaN,NaN,NaN
Chris Godwin,WR,TB,3,-0.02,-0.8,1243,8,0.125,0.125,0.25
T.J. Hockenson,TE,MIN,4,-0.36,-31.5,1226,15,0.06666666666666667,0.06666666666666667,0.4666666666666667
Rachaad White,RB,WAS,3,-0.06,-8,1214,16,0.125,0.1875,0.3125
J.J. McCarthy,QB,MIN,3,0.19,15.5,1214,9,0,0.1111111111111111,0.5555555555555556
Jordan Mason,RB,MIN,3,-0.05,-5.9,1210,15,0.06666666666666667,0.13333333333333333,0.4
Eli Raridon,TE,NE,,,,1207,,NaN,NaN,NaN
Jalen Coker,WR,CAR,4,-0.13,-17.6,1201,10,0,0.1,0.3
Tyler Allgeier,RB,ARI,3,-0.08,-11.7,1184,16,0.0625,0.1875,0.4375
Jacoby Brissett,QB,ARI,3,0.5,52.6,1183,13,0.07692307692307693,0.38461538461538464,0.7692307692307693
AJ Barner,TE,SEA,3,-0.06,-6.8,1183,16,0.125,0.375,0.5
Zachariah Branch,WR,ATL,,,,1183,,NaN,NaN,NaN
Gunnar Helm,TE,TEN,4,-0.64,-55.7,1166,16,0,0.125,0.1875
Khalil Shakir,WR,BUF,3,0.05,4.2,1159,16,0.0625,0.1875,0.375
Dallas Goedert,TE,PHI,3,0.39,38.5,1154,15,0.26666666666666666,0.4,0.7333333333333333
Ja'Kobi Lane,WR,BAL,,,,1149,,NaN,NaN,NaN
Aaron Rodgers,QB,PIT,3,0.33,31.2,1148,15,0,0.2,0.4666666666666667
Tyrone Tracy,RB,NYG,3,0.05,10,1143,14,0.07142857142857142,0.2857142857142857,0.2857142857142857
Kaelon Black,RB,SF,,,,1132,,NaN,NaN,NaN
Greg Dulcich,TE,MIA,4,-0.28,-25.7,1118,9,0.1111111111111111,0.1111111111111111,0.3333333333333333
Isiah Pacheco,RB,DET,4,-0.29,-26.4,1097,13,0,0.07692307692307693,0.23076923076923078
Aaron Jones,RB,MIN,3,0.1,10.2,1082,12,0,0.3333333333333333,0.5833333333333334
Brian Robinson,RB,ATL,4,-0.72,-68.3,1081,16,0,0.0625,0.125
Woody Marks,RB,HOU,3,0.09,9.6,1076,15,0.13333333333333333,0.3333333333333333,0.4666666666666667
Keaton Mitchell,RB,LAC,4,-0.4,-41.4,1071,12,0,0,0.16666666666666666
Stefon Diggs,WR,,3,0.37,34.5,1071,16,0.1875,0.25,0.5
Chris Brooks,RB,GB,5,-1.06,-105.2,1053,16,0,0,0
Hunter Henry,TE,NE,3,0.14,15.1,1050,16,0.125,0.3125,0.5625
Emmett Johnson,RB,KC,,,,1049,,NaN,NaN,NaN
Chris Rodriguez,RB,JAX,4,-0.18,-17.3,1047,12,0,0.16666666666666666,0.4166666666666667
Skyler Bell,WR,BUF,,,,1031,,NaN,NaN,NaN
Elijah Sarratt,WR,BAL,,,,1029,,NaN,NaN,NaN
Dylan Sampson,RB,CLE,4,-0.44,-42.7,974,14,0,0.14285714285714285,0.21428571428571427
Kaytron Allen,RB,WAS,,,,961,,NaN,NaN,NaN
Tre' Harris,WR,LAC,5,-0.83,-77.8,957,16,0,0,0
Rashid Shaheed,WR,SEA,3,-0.06,-7.8,953,17,0.058823529411764705,0.11764705882352941,0.17647058823529413
Tank Bigsby,RB,PHI,5,-0.93,-90.7,952,16,0,0.0625,0.125
Alvin Kamara,RB,NO,3,0.02,-1.3,944,11,0,0.2727272727272727,0.45454545454545453
David Njoku,TE,LAC,4,-0.27,-24.2,941,12,0,0.25,0.5
Isaac TeSlaa,WR,DET,4,-0.57,-61.8,935,16,0,0.125,0.25
Max Klare,TE,LA,,,,933,,NaN,NaN,NaN
Demond Claiborne,RB,MIN,,,,926,,NaN,NaN,NaN
Keon Coleman,WR,BUF,4,-0.17,-22.6,922,12,0.08333333333333333,0.08333333333333333,0.16666666666666666
Chris Brazzell,WR,CAR,,,,912,,NaN,NaN,NaN
Jerry Jeudy,WR,CLE,4,-0.34,-33.6,910,16,0.0625,0.125,0.125
Kaleb Johnson,RB,PIT,5,-0.76,-72.2,907,10,0,0,0
Jalen Nailor,WR,LV,4,-0.52,-48.2,906,16,0.125,0.125,0.125
Tyjae Spears,RB,TEN,3,-0.08,-8.5,904,12,0,0.16666666666666666,0.3333333333333333
Braelon Allen,RB,NYJ,4,-0.2,-19,903,4,0,0,0
Juwan Johnson,TE,NO,3,0.08,9.7,902,16,0.1875,0.375,0.75
Oscar Delp,TE,NO,,,,899,,NaN,NaN,NaN
Jack Bech,WR,LV,5,-0.89,-87.3,889,15,0,0,0
Jauan Jennings,WR,MIN,3,0.28,30.4,886,14,0,0.35714285714285715,0.5714285714285714
